QuestionCode,Question,Fullmark,RightAnswer
CPT001,What are the key phases of the Software Development Life Cycle (SDLC)?,12,"The key phases of the SDLC are:
     1. <Point1:1>Requirement Gathering<Point1:1>: <Point2:1>Collecting requirements from stakeholders to understand what needs to be developed<Point2:1>.
     2. <Point3:1>System Analysis and Design<Point3:1>: <Point4:1>Analyzing the requirements and creating a blueprint of the system<Point4:1>.
     3. <Point5:1>Implementation (Coding) <Point5:1>: <Point6:1>Writing the code as per the design documents<Point6:1>.
     4. <Point7:1>Testing<Point7:1>: <Point8:1>Verifying the system against the requirements to identify and fix defects<Point8:1>.
     5. <Point9:1>Deployment<Point9:1>: <Point10:1>Releasing the software to the production environment for users<Point10:1>.
     6. <Point11:1>Maintenance<Point11:1>: <Point12:1>Ongoing support and enhancement of the software post-deployment<Point12:1>.
"
CPT002,What is the difference between the Waterfall model and the Agile model?,9,"Waterfall Model:<Point1:2>A linear and sequential approach where each phase must be completed before the next begins<Point1:2>. <Point2:1> The process flows in one direction like a waterfall, moving from one phase to the next without overlapping or iteration<Point2:1>. <Point3:1>Difficulty in Changes: Changes are difficult to implement once a phase is completed, as it requires revisiting and potentially redoing previous phases<Point3:1>.
Agile Model: <Point4:2>An iterative and incremental approach that focuses on flexibility, collaboration, and customer feedback<Point4:2>. <Point5:1> Development occurs in small, manageable increments called iterations<Point5:1>, which allow for regular reassessment and adaptation. <Point6:1> Agile allows for continuous feedback from stakeholders and adaptability to changing requirements throughout the development process<Point6:1>.
<Point7:1> Changes can be made at any stage of the development process, accommodating evolving requirements and priorities<Point7:1>.
"
CPT003,What is cohesion? And what is high and low,8,"Cohesion indicates the <Point1:2>bond strength between elements in a module<Point1:2>. It measures the <Point2:2>relationship strength between the data of a class/methods and the unifying factor or purpose the class serves<Point2:2>. High cohesion means that <Point3:2>the elements within a module are closely related and work together towards a common goal<Point3:2>, while low cohesion implies that <Point4:2>the elements are loosely related and do not have a clear or unified purpose<Point4:2>."
CPT004,What are internal milestones in software engineering?,11,"Internal milestones are <Point1:2>measurable and important attributes of processes<Point1:2>. They are <Point2:1>standard systematic procedures <Point2:1> that  <Point3:1>indicate that the engineers are on the right path<Point3:1>. These milestones can be used to <Point4:2>assess the development team's progress<Point4:2>, <Point5:1>identify issues and risks<Point5:1>, and <Point6:1>make necessary adjustments to the project plan<Point6:1>. They can be related to various aspects of the project, such as <Point7:1>completing a specific feature<Point7:1>, <Point8:1>testing and debugging the code<Point8:1>, or <Point9:1>reaching a certain level of performance or functionality<Point9:1>."
CPT005,What is the Rapid Application Development (RAD) model?,7,"The RAD model is an <Point1:>iterative and prototyping approach<Point1:1> to software development that<Point2:1>emphasizes less time spent on traditional planning phases and more on software development<Point2:1>. It involves a <Point3:1>series of smaller development cycles, including planning, design, construction, and testing<Point3:1>, with a focus on <Point4:1>quick delivery of functional software to clients and stakeholders<Point4:1>. The RAD model incorporates <Point5:2>feedback from end-users and stakeholders to refine and improve the software<Point5:2>."
CPT006,请简单分析顺序图和活动图的区别。,12,"活动图反映系统中从一个活动到另一个活动的流程，强调对象间的控制流程。（2分）活动图特
别适合描述工作流和并行处理过程。（2分）具体地说活动图可以描述一个操作过程中需要完成的活
动；（1分）描述一个对象内部的工作；（1分）描述如何执行一组相关的动作，以及这些动作如何影响它们
周围的对象；（1分）说明一个业务活动中角色、工作流、组织和对象是如何工作的。（2分）
顺序图用于描述一组交互对象间的交互方式，它表示完成某项行为的对象和这些对象之
间传递消息的时间顺序。（3 分）"
CPT007,请简要描述敏捷开发的核心价值和原则.,8,敏捷开发的核心价值包括个体和互动、工作软件、客户合作和响应变化。（4分）原则包括优先做有价值的工作、工作软件胜于详尽的文档、客户合作胜于合同谈判、应对变化胜于遵循计划。（4分）
CPT008,简述需求分析的概念及需求分析的基本任务。,5,需求分析是指开发人员要准确理解用户的要求，进行细致的调查分析，将用户非形式的需求陈述转化为完整的需求定义，再由需求定义转换到相应的形式功能规约(需求规格说明)的过程。(3分)需求分析的基本任务是要准确地定义新系统的目标，为了满足用户需要，回答系统必须“做什么”的问题。(2分)
CPT009,软件测试要经过哪些步骤？简述这些测试的基本任务.,12,"（1）单元测试、集成测试、确认测试、系统测试。（4分）
（2）单元测试：对源程序中的每个程序单元进行测试，检查各模块是否正确实现规定的功能，从而发现模块在编码中或算法中的错误。（2分）
（3）集成测试：检查与设计相关的软件结构的有关问题。（2分）
（4）确认测试：主要检查已实现的软件是否满足需求规格说明书中确定了的各种需求。（2分）
（5）系统测试：把已确认的软件与其它系统元素结合在一起进行测试。（2分）"
CPT010,请介绍一下测试驱动开发(TDD)的流程。,13,"测试驱动开发是一种先写测试代码,再写实现代码的开发方法。（2分）它主要包括以下的流程:首先,编写一个失败的测试用例,描述需求的一个方面;（2分）然后,编写足够简单的实现代码,使测试用例能够通过;（2分）接着,重构代码,保持代码的简洁性和可维护性;（2分）最后,重复上述步骤,逐渐完善功能。（2分）通过使用TDD,可以提高代码的质量、可测试性和可维护性。（3分）"
