QuestionCode,StudentAns1,ManualScore,StudentAns2,ManualScore
CPT001,"The key phases of the SDLC are:
1.	Requirement Gathering: Collecting requirements from stakeholders.
2.	System Analysis and Design: Analyzing requirements and creating a blueprint.
3.	Implementation: Writing the code.
4.	Testing: Checking the system for defects.
5.	Deployment: Releasing the software to users.
6.	Maintenance: Providing support after deployment.
","9/12 points
“<Point1:True>,<Point2:False>,<Point3:True>,<Point4:True>, <Point5:True>, <Point6:True>, <Point7:True>,<Point8:False>,<Point9:True>,<Point10:True>,<Point11:True>,<Point12:False>”
","The key phases of the SDLC are:
1.	Requirement Gathering: Understanding what the software needs to do by talking to stakeholders.
2.	System Analysis and Design: Creating a detailed plan and design for the software.
3.	Implementation (Coding): Developing the software based on the design.
4.	Testing: Ensuring the software works correctly by finding and fixing bugs.
5.	Deployment: Making the software available to the users.
6.	Maintenance: Keeping the software running smoothly and making improvements.
","9/12 points
“<Point1:True>,<Point2:True>,<Point3:True>, <Point4:True>, <Point5:True>, <Point6:True>, <Point7:True>,<Point8:True>,<Point9:True>,<Point10:True>,<Point11:True>,<Point12:True>”
"
CPT002,"The Waterfall model is a linear and sequential approach where each phase must be completed before the next one begins. The process flows in one direction like a waterfall, meaning that once you finish one phase, you move to the next without going back. This makes changes difficult to implement because you would have to revisit and potentially redo the previous phases.
On the other hand, the Agile model is iterative and incremental, focusing on flexibility, collaboration, and customer feedback. Development happens in small increments called iterations, which allows for regular reassessment and adaptation. Agile allows for continuous feedback from stakeholders, making it easier to adapt to changing requirements. Changes can be made at any stage, accommodating evolving needs and priorities.","9/9 points
“<Point1:True>,<Point2:True>,<Point3:True>, <Point4:True>, <Point5:True>, <Point6:True>, <Point7:True>”","The Waterfall model is a linear and sequential approach where you complete one phase before starting the next. It’s like a straight path, and you can’t go back easily if you need to make changes.
Agile is more flexible and iterative. It allows for small, repeated cycles of development with ongoing feedback. This means changes can be made at any time, which helps in adapting to new requirements.","7/9 points
“<Point1:True>,<Point2:False>,<Point3:True>,<Point4:True>,<Point5:False>,<Point6:True>, <Point7:True>”"
CPT003,Cohesion indicates how closely related the elements within a module are. It measures the strength of the relationship between the data and the methods in a class. High cohesion means that the elements in a module are related and work together well. Low cohesion means that the elements are not closely related and do not have a clear purpose.,"7/8 points “<Point1:True>, <Point2:True>,<Point3:False>, <Point4:True>, <Point5:True>”","Cohesion is about how strongly related the parts of a module are. It shows how well the data and methods in a class are connected and their shared purpose. High cohesion means everything in the module works together towards a common goal, while low cohesion means the elements are not well connected and don't serve a clear purpose.","8/8 points: “<Point1:True>, <Point2:True>,<Point3:True>, <Point4:True>, <Point5:True>”
"
CPT004,"Internal milestones in software engineering are measurable and important attributes of processes. They are standard systematic procedures that indicate that the engineers are on the right path. These milestones can be used to assess the development team's progress, identify issues and risks, and make necessary adjustments to the project plan. They can be related to various aspects of the project, such as completing a specific feature, testing and debugging the code, or reaching a certain level of performance or functionality.","11/11 points
“<Point1:True>,<Point2:True>,<Point3:True>,<Point4:True>,<Point5:True>,<Point6:True>, <Point7:True>,<Point8:True>,<Point9:True>”","Internal milestones in software engineering are checkpoints that help track the progress of a project. These are important indicators to see if the engineers are on track. They help assess progress, identify problems, and make changes to the project plan if needed. Milestones can include finishing a feature, testing and debugging, or achieving a specific performance level.","8/11 points
“<Point1:False>,<Point2:False>,<Point3:True>,<Point4:True>,<Point5:True>,<Point6:True>, <Point7:True>,<Point8:True>,<Point8:True>,<Point9:True>”"
CPT005,"The Rapid Application Development (RAD) model is an iterative and prototyping method used in software development. It focuses on reducing the time spent on planning and emphasizes quick development. The model involves a series of smaller development cycles such as planning, design, construction, and testing. The goal is to deliver functional software quickly to clients and stakeholders. The RAD model also uses feedback from end-users and stakeholders to continuously improve the software.","7/7 points
“<Point1:True>,<Point2:True>,<Point3:True>,<Point4:True>,<Point5:True>”
","The RAD model is a software development approach that emphasizes speed and flexibility. It is iterative and involves creating prototypes. The model minimizes the time spent on detailed planning and focuses more on the actual development. It includes multiple short development cycles such as planning, design, construction, and testing. The aim is to quickly deliver functional software to clients and stakeholders. The RAD model relies heavily on feedback from users to improve and refine the software continuously.","7/7 points
“<Point1:True>,<Point2:True>,<Point3:True>,<Point4:True>,<Point5:True>”"
CPT006,顺序图展示了对象之间的交互及其消息传递的顺序，强调的是时间顺序和对象之间的通信。它用于描述系统中不同对象之间的协作，帮助理解系统的执行流程。活动图则展示了系统中的活动流程，强调的是活动的控制流和条件分支。它用于描述业务流程或系统功能的执行过程，帮助理解系统的逻辑控制。顺序图适合用来描述具体的对象交互细节，而活动图更适合用来描述系统的整体业务流程和活动间的顺序关系。两者相辅相成，共同帮助理解系统的行为和结构。,6分/6,,
CPT007,敏捷开发的核心价值包括个体和互动高于过程和工具，工作软件高于详尽文档，客户合作高于合同谈判，响应变化高于遵循计划。敏捷开发的原则包括：通过持续交付有价值的软件来满足客户需求，欢迎需求变化，即使在开发后期，也能及时响应；频繁交付可工作的软件，从几周到几个月，越快越好；业务人员和开发人员必须天天在一起工作；激励开发团队，提供所需的环境和支持，信任他们完成任务；面对面的沟通是最有效的沟通方式；工作的软件是进度的主要度量标准；保持可持续的开发速度；追求技术卓越和良好的设计；简单是关键；最佳架构、需求和设计来自自组织团队；定期反思如何更有效地工作，并相应地调整行为。,8分/8,,
CPT008,需求分析是确定用户需求并将其转化为详细的系统需求规格说明书的过程。需求分析的基本任务包括：收集用户需求，通过访谈、问卷、观察等方法获取用户的实际需求；分析和理解用户需求，识别系统的功能需求和非功能需求；确定系统的边界和范围，明确系统需要实现的功能和限制条件；编写需求规格说明书，详细描述系统的功能和性能需求，作为开发和测试的依据；进行需求评审，与用户和项目相关人员确认需求的准确性和完整性，确保需求规格说明书的可行性和可验证性。需求分析的目的是确保开发团队和用户对系统需求有统一的理解，为后续的设计和开发提供明确的指导。,5分/5,,
CPT009,软件测试通常包括单元测试、集成测试、系统测试和验收测试。单元测试是针对最小的代码单元进行测试，确保每个模块功能正常。集成测试是将多个模块集成后进行测试，检查模块间的接口和交互是否正确。系统测试是在集成完成后，对整个系统进行全面测试，验证系统的功能、性能和安全性。验收测试是由用户进行的测试，验证系统是否满足用户需求和业务目标。每个测试阶段都有其特定的任务，单元测试关注代码的正确性，集成测试关注模块间的兼容性，系统测试关注系统的整体功能，验收测试关注系统的用户满意度和实际应用效果。,9分/10,,
CPT010,测试驱动开发（TDD）是一种开发方法，它的核心是先写测试代码，再写实现代码。TDD的流程是这样的：首先，开发者会根据需求编写一个测试用例，这个测试用例在现有代码下应该是无法通过的，因为它代表了一个新的需求或功能。然后，为了让这个测试用例通过，开发者会编写最简单的实现代码。接着，在测试通过后，对代码进行重构，以提高代码的质量和可维护性。这个过程是一个循环，不断地编写新的测试用例，编写实现代码，通过测试，再重构代码，逐步完善系统的功能。通过这种方式，TDD能够显著提高代码的质量、可测试性和可维护性。,13分/13,,
